T,h-bar,u-bar,s-bar
0.0,0.0,0.0,0.0
260.0,7370.0,5209.0,126.636
270.0,7657.0,5412.0,127.719
280.0,7945.0,5617.0,128.765
290.0,8233.0,5822.0,129.775
298.0,8468.0,5989.0,130.574
300.0,8522.0,6027.0,130.754
320.0,9100.0,6440.0,132.621
340.0,9680.0,6853.0,134.378
360.0,10262.0,7268.0,136.039
380.0,10843.0,7684.0,137.612
400.0,11426.0,8100.0,139.106
420.0,12010.0,8518.0,140.529
440.0,12594.0,8936.0,141.888
460.0,13179.0,9355.0,143.187
480.0,13764.0,9773.0,144.432
500.0,14350.0,10193.0,145.628
520.0,14935.0,10611.0,146.775
560.0,16107.0,11451.0,148.945
600.0,17280.0,12291.0,150.968
640.0,18453.0,13133.0,152.863
680.0,19630.0,13976.0,154.645
720.0,20807.0,14821.0,156.328
760.0,21988.0,15669.0,157.923
800.0,23171.0,16520.0,159.44
840.0,24359.0,17375.0,160.891
880.0,25551.0,18235.0,162.277
920.0,26747.0,19098.0,163.607
960.0,27948.0,19966.0,164.884
1000.0,29154.0,20839.0,166.114
1040.0,30364.0,21717.0,167.3
1080.0,31580.0,22601.0,168.449
1120.0,32802.0,23490.0,169.56
1160.0,34028.0,24384.0,170.636
1200.0,35262.0,25284.0,171.682
1240.0,36502.0,26192.0,172.698
1280.0,37749.0,27106.0,173.687
1320.0,39002.0,28027.0,174.652
1360.0,40263.0,28955.0,175.593
1400.0,41530.0,29889.0,176.51
1440.0,42808.0,30835.0,177.41
1480.0,44091.0,31786.0,178.291
1520.0,45384.0,32746.0,179.153
1560.0,46683.0,33713.0,179.995
1600.0,47990.0,34687.0,180.82
1640.0,49303.0,35668.0,181.632
1680.0,50622.0,36654.0,182.428
1720.0,51947.0,37646.0,183.208
1760.0,53279.0,38645.0,183.973
1800.0,54618.0,39652.0,184.724
1840.0,55962.0,40663.0,185.463
1880.0,57311.0,41680.0,186.19
1920.0,58668.0,42705.0,186.904
1960.0,60031.0,43735.0,187.607
2000.0,61400.0,44771.0,188.297
2050.0,63119.0,46074.0,189.148
2100.0,64847.0,47386.0,189.979
2150.0,66584.0,48708.0,190.796
2200.0,68328.0,50037.0,191.598
2250.0,70080.0,51373.0,192.385
2300.0,71839.0,52716.0,193.159
2350.0,73608.0,54069.0,193.921
2400.0,75383.0,55429.0,194.669
2450.0,77168.0,56798.0,195.403
2500.0,78960.0,58175.0,196.125
2550.0,80755.0,59554.0,196.837
2600.0,82558.0,60941.0,197.539
2650.0,84368.0,62335.0,198.229
2700.0,86186.0,63737.0,198.907
2750.0,88008.0,65144.0,199.575
2800.0,89838.0,66558.0,200.234
2850.0,91671.0,67976.0,200.885
2900.0,93512.0,69401.0,201.527
2950.0,95358.0,70831.0,202.157
3000.0,97211.0,72268.0,202.778
3050.0,99065.0,73707.0,203.391
3100.0,100926.0,75152.0,203.995
3150.0,102793.0,76604.0,204.592
3200.0,104667.0,78061.0,205.181
3250.0,106545.0,79523.0,205.765
